Panel  / Part,Scratch,Dent + Scratch,Replace,Internal,Part / Panel Id,Part / Panel,Scratch ,,Dent + Scratch,,Replace,
,,,,,,,Material,Labour,Material,Labour,Material,Labour
Front Bumper,1999,2999,2699,N,4,Panel,599.7,1399.3,899.7,2099.3,809.7,1889.3
Rear Bumper,1999,2999,2699,N,5,Panel,599.7,1399.3,899.7,2099.3,809.7,1889.3
Left Fender,1999,2999,2699,N,1,Panel,599.7,1399.3,899.7,2099.3,809.7,1889.3
Right Fender,1999,2999,2699,N,2,Panel,599.7,1399.3,899.7,2099.3,809.7,1889.3
Trunk,1999,2999,5199,N,10,Panel,599.7,1399.3,899.7,2099.3,2809.7,2489.3
Bonnet,1999,2999,2699,N,3,Panel,599.7,1399.3,899.7,2099.3,809.7,1889.3
Left Front Door,1999,2999,3199,N,6,Panel,599.7,1399.3,899.7,2099.3,959.7,2239.3
Right Front Door,1999,2999,3199,N,7,Panel,599.7,1399.3,899.7,2099.3,959.7,2239.3
Left Rear Door,1999,2999,3199,N,8,Panel,599.7,1399.3,899.7,2099.3,959.7,2239.3
Right Rear Door,1999,2999,3199,N,9,Panel,599.7,1399.3,899.7,2099.3,959.7,2239.3
Left Running Board,1999,2999,4699,N,13,Panel,599.7,1399.3,899.7,2099.3,1409.7,3289.3
Right Running Board,1999,2999,4699,N,14,Panel,599.7,1399.3,899.7,2099.3,1409.7,3289.3
Left Quarter Panel,1999,2999,4699,N,11,Panel,599.7,1399.3,899.7,2099.3,1409.7,3289.3
Right Quarter Panel,1999,2999,4699,N,12,Panel,599.7,1399.3,899.7,2099.3,1409.7,3289.3
Roof,3999,5999,NA,Y,15,Panel,1199.7,2799.3,1799.7,4199.3,NA,NA
Tow Cap,NA,NA,299,Y,33,Part,NA,NA,NA,NA,89.7,209.3
Door Handel,NA,NA,399,Y,27,Part,NA,NA,NA,NA,119.7,279.3
Side view mirror,NA,NA,399,Y,18,Part,NA,NA,NA,NA,119.7,279.3
Bumper Mount,NA,NA,149,Y,60,Part,NA,NA,NA,NA,0,149
Bumper Lining,NA,NA,149,Y,21,Part,NA,NA,NA,NA,0,149
Bumper Upper Grill,NA,NA,149,Y,42,Part,NA,NA,NA,NA,0,149
Bumper Lower Grill,NA,NA,149,N,43,Part,NA,NA,NA,NA,0,149
Fog Lamp Right,NA,NA,149,N,32,Part,NA,NA,NA,NA,0,149
Fog Lamp Left,NA,NA,149,N,39,Part,NA,NA,NA,NA,0,149
Fog Lamp Cover with fog lamp Cut,NA,NA,149,Y,61,Part,NA,NA,NA,NA,0,149
Fog Lamp Cover without fog lamp Cut,NA,NA,149,Y,62,Part,NA,NA,NA,NA,0,149
