Brand;Brand-href;car_details;car_details-href;car_name;start_price;variant;color
Renault;https://www.carwale.com/renault-cars/;Renault Scala;https://www.carwale.com/renault-cars/scala/;Renault Scala;? 8.12 Lakhs;"[{'variant':'RxL Petrol'},{'variant':'RxL Diesel'},{'variant':'RxZ Diesel'}]";"[{'color':'Solid Black'},{'color':'Pearl White'},{'color':'Metallic Silver'},{'color':'Metallic Blue'},{'color':'Royal Orchid'}]"
Hyundai;https://www.carwale.com/hyundai-cars/;Hyundai Creta;https://www.carwale.com/hyundai-cars/creta/;Hyundai Creta;? 9.46 Lakhs;"[{'variant':'E 1.6 Petrol'},{'variant':'E Plus 1.6 Petrol'},{'variant':'E Plus 1.4 CRDI'},{'variant':'S 1.4 CRDI'},{'variant':'SX Plus 1.6  Petrol'},{'variant':'S Plus 1.4 CRDI'},{'variant':'SX Plus 1.6 Dual Tone Petrol'},{'variant':'SX 1.6 CRDI'},{'variant':'SX Plus 1.6 AT Petrol'},{'variant':'SX Plus 1.6 CRDI'},{'variant':'S Plus 1.6 AT CRDI'},{'variant':'SX Plus 1.6 CRDI Spl Edition'},{'variant':'SX Plus 1.6 CRDI Dual Tone'},{'variant':'SX 1.6 CRDI (O)'},{'variant':'SX Plus 1.6 AT CRDI'}]";"[{'color':'Red Passion'},{'color':'Star Dust'},{'color':'Polar White'},{'color':'Phantom Black'},{'color':'Mystic Blue'},{'color':'Sleek Silver'},{'color':'Earth Brown'},{'color':'Red Passion / Phantom Black'},{'color':'Polar White / Phantom Black'}]"
Volvo;https://www.carwale.com/volvo-cars/;Volvo V40;https://www.carwale.com/volvo-cars/v40/;Volvo V40;? 26.24 Lakhs;"[{'variant':'D3 Kinetic'},{'variant':'D3 R-Design'}]";"[{'color':'Ice White Solid'},{'color':'Bright Silver Metallic'},{'color':'Passion Red Solid'},{'color':'Osmium Grey Metallic'},{'color':'Crystal White Pearl'},{'color':'Onyx Black'},{'color':'Bursting Blue Metallic'}]"
Rolls-Royce;https://www.carwale.com/rollsroyce-cars/;Rolls-Royce Phantom;https://www.carwale.com/rollsroyce-cars/phantom/;Rolls-Royce Phantom;? 7.01 Crores;"[{'variant':'Sedan'},{'variant':'EWB'}]";"[{'color':'Black'},{'color':'Diamond Black'},{'color':'Anthracite'},{'color':'Jubliee Silver'},{'color':'Silver'},{'color':'Midnight Blue'},{'color':'Darkest Tungsten'},{'color':'Blue Velvet'},{'color':'Metropolitan Blue'},{'color':'Woodland Green'},{'color':'New sable'},{'color':'Madeira Red'},{'color':'Ensign Red'},{'color':'Cornish White'},{'color':'English White'},{'color':'Arctic White'}]"
Toyota;https://www.carwale.com/toyota-cars/;Toyota Platinum Etios;https://www.carwale.com/toyota-cars/platinum-etios/;Toyota Platinum Etios;? 7.09 Lakhs;"[{'variant':'GX'},{'variant':'V'},{'variant':'VX'},{'variant':'GXD'},{'variant':'VD'},{'variant':'VXD'}]";"[{'color':'Vermilion Red'},{'color':'Classic grey'},{'color':'Silver mica Metallic'},{'color':'Harmoney Biege'},{'color':'Pearl white with crystal shine'},{'color':'celestial black'},{'color':'white'}]"
Jaguar;https://www.carwale.com/jaguar-cars/;Jaguar XJ L;https://www.carwale.com/jaguar-cars/xj-l/;Jaguar XJ L;? 1.02 Crores;"[{'variant':'3.0 Premium Luxury'},{'variant':'2.0 Portfolio'},{'variant':'3.0 Portfolio'},{'variant':'5.0 V8 Autobiography'}]";"[{'color':'Polaris White'},{'color':'Ammonite Grey'},{'color':'Ultimate Black'},{'color':'Dark Sapphire'},{'color':'Aurora Red'},{'color':'Black Berry'}]"
Land Rover;https://www.carwale.com/landrover-cars/;Land Rover Range Rover;https://www.carwale.com/landrover-cars/range-rover/;Land Rover Range Rover;? 1.76 Crores;"[{'variant':'3.0 V6 Diesel Vogue LWB'},{'variant':'3.0 V6 Petrol Vogue'},{'variant':'3.0 V6 Diesel Vogue'},{'variant':'4.4 SDV8 Vogue SE LWB'},{'variant':'4.4 SDV8 Vogue SE'},{'variant':'4.4 SDV8 Autobiography LWB'},{'variant':'4.4 SDV8 Autobiography'},{'variant':'5.0 V8 Autobiography LWB'},{'variant':'5.0 V8 Autobiography'},{'variant':'4.4 SDV8 SV Autobiography LWB'},{'variant':'5.0 V8 SV Autobiography LWB'}]";"[{'color':'Barolo Black'},{'color':'Barossa'},{'color':'Mariana Black'},{'color':'Causeway Grey'},{'color':'Orkney Grey'},{'color':'Nara Bronze'},{'color':'Aintree Green'},{'color':'Baltic Blue'},{'color':'Santorini Black'},{'color':'Marmaris Teal'},{'color':'Firenze Red'},{'color':'Ipanema Sand'},{'color':'Siberian Silver'},{'color':'Indus Silver'},{'color':'Fuji White'}]"
Audi;https://www.carwale.com/audi-cars/;Audi A4;https://www.carwale.com/audi-cars/a4/;Audi A4;? 39.08 Lakhs;"[{'variant':'30 TFSI Premium Plus'},{'variant':'35 TDI'},{'variant':'30 TFSI Technology Pack'}]";"[{'color':'Ibis White'},{'color':'Mythos Black Metallic'},{'color':'Floret Silver Metallic'},{'color':'Moonshine Blue Metallic'},{'color':'Tango Red Metallic'}]"
Mercedes-Benz;https://www.carwale.com/mercedesbenz-cars/;Mercedes-Benz C-Class;https://www.carwale.com/mercedesbenz-cars/c-class/;Mercedes-Benz C-Class;? 40.41 Lakhs;"[{'variant':'C 220 CDI Style'},{'variant':'C 200 Avantgarde'},{'variant':'C 220 CDI Avantgarde'},{'variant':'C 250 d'},{'variant':'C 43 AMG'},{'variant':'C 63 S AMG'}]";"[{'color':'Cavansite Blue'},{'color':'Citrine Brown'},{'color':'Polar White'},{'color':'Iridium Silver'},{'color':'Obsidian Black'},{'color':'Palladium Silver'},{'color':'Tenorite Grey'}]"
Porsche;https://www.carwale.com/porsche-cars/;Porsche 718;https://www.carwale.com/porsche-cars/718/;Porsche 718;? 83.47 Lakhs;"[{'variant':'Cayman'},{'variant':'Boxster'}]";"[]"
