Brand;Brand-href;car_details;car_details-href;car_name;start_price;variant;color
Audi;https://www.carwale.com/audi-cars/;Audi A8 L;https://www.carwale.com/audi-cars/a8-l/;Audi A8 L;? 1.18 Crores;"[{'variant':'50 TDI'},{'variant':'50 TDI Plus'},{'variant':'60 TDI'},{'variant':'60 TFSI'},{'variant':'W12'}]";"[{'color':'Ibis White'},{'color':'Brilliant Black'},{'color':'Havana Black'},{'color':'Monsoon Grey Metallic'},{'color':'Floret Silver'},{'color':'Phantom Black'},{'color':'0olong Grey Metallic'},{'color':'Argus Brown Metallic'},{'color':'Moonlight blue Metallic'},{'color':'Glacier white Metallic'},{'color':'Cuvae Silver Metallic'}]"
Toyota;https://www.carwale.com/toyota-cars/;Toyota Etios Liva;https://www.carwale.com/toyota-cars/etios-liva/;Toyota Etios Liva;? 5.76 Lakhs;"[{'variant':'GX'},{'variant':'V'},{'variant':'V Dual Tone'},{'variant':'VX'},{'variant':'VX Dual Tone'},{'variant':'GXD'},{'variant':'VD'},{'variant':'VD Dual Tone'},{'variant':'VXD'},{'variant':'VXD Dual Tone'}]";"[{'color':'Vermilion Red'},{'color':'Ultramarine Blue'},{'color':'Classic grey'},{'color':'Harmoney Biege'},{'color':'Celestial Black'},{'color':'White'},{'color':'Silver mica Metallic'},{'color':'Ultramarine Blue / Celestial Black'},{'color':'Vermilion Red\t/ Celestial Black'},{'color':'Super White / Celestial Black'}]"
Mercedes-Benz;https://www.carwale.com/mercedesbenz-cars/;Mercedes-Benz S-Coupe;https://www.carwale.com/mercedesbenz-cars/s-coupe/;Mercedes-Benz S-Coupe;? 1.84 Crores;"[{'variant':'S 500'},{'variant':'S 63 AMG'}]";"[{'color':'Metallic Obsidian Black'},{'color':'Polar White'}]"
Mercedes-Benz;https://www.carwale.com/mercedesbenz-cars/;Mercedes-Benz B-Class;https://www.carwale.com/mercedesbenz-cars/b-class/;Mercedes-Benz B-Class;? 30.86 Lakhs;"[{'variant':'B 180 Night Edition'},{'variant':'B 200 Sport CDI'},{'variant':'B 200 Night Edition'},{'variant':'B 180 Sport'}]";"[{'color':'Jupiter Red'},{'color':'Cirrus White'},{'color':'Polar Silver Metallic'},{'color':'Mountain Grey'}]"
Mini;https://www.carwale.com/mini-cars/;Mini Cooper Convertible;https://www.carwale.com/mini-cars/new-cooper-convertible/;Mini Cooper Convertible;? 35.26 Lakhs;"[{'variant':'2.0'}]";"[{'color':'Carbon Black'},{'color':'Satellite Grey'},{'color':'Shadow Grey'},{'color':'Glowing Red'}]"
Rolls-Royce;https://www.carwale.com/rollsroyce-cars/;Rolls-Royce Drophead Coupe;https://www.carwale.com/rollsroyce-cars/dropheadcoupe/;Rolls-Royce Drophead Coupe;? 8.17 Crores;"[{'variant':'Convertible'}]";"[{'color':'Black'},{'color':'Diamond Black'},{'color':'Anthracite'},{'color':'Jubliee Silver'},{'color':'Silver'},{'color':'Midnight Blue'},{'color':'Darkest Tungsten'},{'color':'Blue Velvet'},{'color':'Metropolitan Blue'},{'color':'Woodland Green'},{'color':'New sable'},{'color':'Madeira Red'},{'color':'Ensign Red'},{'color':'Cornish White'},{'color':'English White'},{'color':'Arctic White'}]"
Volvo;https://www.carwale.com/volvo-cars/;Volvo S60;https://www.carwale.com/volvo-cars/s60/;Volvo S60;? 34.43 Lakhs;"[{'variant':'Kinetic'},{'variant':'Momentum'},{'variant':'Cross Country Inscription'},{'variant':'T6'},{'variant':'Polestar'}]";"[{'color':'Bright Silver Metallic'},{'color':'Power Blue Metallic'},{'color':'Passion Red Solid'},{'color':'Inscription Crystal White Pearl'},{'color':'Rebel Blue'},{'color':'Onyx Black metallic'},{'color':'Inscription Electric Silver Metallic'},{'color':'Osmium Grey'}]"
Mitsubishi;https://www.carwale.com/mitsubishi-cars/;Mitsubishi Pajero Sport;https://www.carwale.com/mitsubishi-cars/pajerosport/;Mitsubishi Pajero Sport;? 27.6 Lakhs;"[{'variant':'2.5 AT'},{'variant':'2.5 MT'},{'variant':'Limited Edition'}]";"[{'color':'Storm Grey'},{'color':'Himalayan White'},{'color':'Iceberg Silver'},{'color':'Pure Black'},{'color':'Deep Blue Mica'}]"
Fiat;https://www.carwale.com/fiat-cars/;Fiat Urban Cross;https://www.carwale.com/fiat-cars/urban-cross/;Fiat Urban Cross;? 7.04 Lakhs;"[{'variant':'Active Multijet 1.3'},{'variant':'Dynamic Multijet 1.3'},{'variant':'Emotion Multijet 1.3'},{'variant':'Emotion T-Jet 1.4'}]";"[{'color':'Bronzo Tan'},{'color':'Exotica Red'},{'color':'Minimal Grey'},{'color':'Hip Hop Black'},{'color':'Bossanova White'},{'color':'Magnesio Grey'}]"
Mercedes-Benz;https://www.carwale.com/mercedesbenz-cars/;Mercedes-Benz CLS;https://www.carwale.com/mercedesbenz-cars/cls/;Mercedes-Benz CLS;? 78.2 Lakhs;"[{'variant':'250 CDI'}]";"[{'color':'Magnetite Black'},{'color':'Cavensite Blue'},{'color':'Designo Diamond White Bright'},{'color':'Citrine Brown'},{'color':'Designo Hyacinth Red Metallic'},{'color':'Diamond Silver'}]"
Datsun;https://www.carwale.com/datsun-cars/;Datsun GO Plus;https://www.carwale.com/datsun-cars/go-plus/;Datsun GO Plus;? 3.94 Lakhs;"[{'variant':'D'},{'variant':'A'},{'variant':'A EPS'},{'variant':'T'},{'variant':'Anniversary Edition'},{'variant':'T (O)'}]";"[{'color':'Ruby'},{'color':'Gold'},{'color':'Silver'},{'color':'Grey'},{'color':'White'},{'color':'Blue'}]"
Mahindra;https://www.carwale.com/mahindra-cars/;Mahindra Scorpio;https://www.carwale.com/mahindra-cars/scorpio/;Mahindra Scorpio;? 9.71 Lakhs;"[{'variant':'S2'},{'variant':'S4 1.99 Intelli-Hybrid'},{'variant':'S4  Intelli-Hybrid'},{'variant':'S4 Plus 1.99 Intelli-Hybrid'},{'variant':'S4 Plus Intelli-Hybrid'},{'variant':'S6 Plus 1.99 Intelli-Hybrid'},{'variant':'S6 Plus Intelli-Hybrid'},{'variant':'S4 Plus 4WD 1.99 Intelli-Hybrid'},{'variant':'S4 Plus 4WD Intelli-Hybrid'},{'variant':'S8 1.99 Intelli-Hybrid'},{'variant':'S8 Intelli-Hybrid'},{'variant':'S10 1.99 Intelli-Hybrid'},{'variant':'S10 2WD Intelli-Hybrid'},{'variant':'S10 4WD 1.99 Intelli-Hybrid'},{'variant':'S10 4WD Intelli-Hybrid'}]";"[{'color':'Fiery Black'},{'color':'Diamond White'},{'color':'Mist Silver'},{'color':'Molten Red'},{'color':'Regal Blue'}]"
Volvo;https://www.carwale.com/volvo-cars/;Volvo XC90;https://www.carwale.com/volvo-cars/xc90/;Volvo XC90;? 72.08 Lakhs;"[{'variant':'Momentum Luxury'},{'variant':'Inscription Luxury'},{'variant':'Excellence'}]";"[{'color':'Magic Blue'},{'color':'Luminous Sand Metallic'},{'color':'Crystal White Pearl'},{'color':'Onyx Black'}]"
Bentley;https://www.carwale.com/bentley-cars/;Bentley Bentayga;https://www.carwale.com/bentley-cars/bentayga/;Bentley Bentayga;? 3.94 Crores;"[{'variant':'W12'}]";"[{'color':'Molten Bronze'},{'color':'Stonecutter'},{'color':'Blue Ice'},{'color':'Heatwave'},{'color':'Red Mist'},{'color':'Big Skies'}]"
Honda;https://www.carwale.com/honda-cars/;Honda Mobilio;https://www.carwale.com/honda-cars/mobilio/;Honda Mobilio;? 7.55 Lakhs;"[{'variant':'Honda Mobilio E Petrol'},{'variant':'Honda Mobilio S Petrol'},{'variant':'Honda Mobilio E Diesel'},{'variant':'Honda Mobilio S Diesel'},{'variant':'Honda Mobilio V Petrol'},{'variant':'Honda Mobilio V (O) Petrol'},{'variant':'Honda Mobilio V Diesel'},{'variant':'Honda Mobilio V (O) Diesel'},{'variant':'Honda Mobilio RS Diesel'},{'variant':'Honda Mobilio RS(O) Diesel'}]";"[{'color':'Crystal Black Pearl'},{'color':'Majestic Blue'},{'color':'Alabaster Silver Metallic'},{'color':'Brilliant Gold'},{'color':'Carnelian Red'},{'color':'Taffeta White'},{'color':'Urban Titanium Metallic'}]"
Porsche;https://www.carwale.com/porsche-cars/;Porsche Cayenne;https://www.carwale.com/porsche-cars/cayenne/;Porsche Cayenne;? 1.05 Crores;"[{'variant':'Diesel'},{'variant':'S Petrol'},{'variant':'Platinum Edition'},{'variant':'Platinum Edition Diesel'},{'variant':'S Diesel'},{'variant':'GTS'},{'variant':'Turbo'}]";"[{'color':'Classic Silver'},{'color':'Jet Black'},{'color':'Dark Blue'},{'color':'Meteor Grey'},{'color':'Umber Metallic'},{'color':'Jet Green'},{'color':'Black'},{'color':'Sand White'},{'color':'Marine Blue'},{'color':'Basalt Black'},{'color':'Macadamia'},{'color':'Crystal Silver'},{'color':'Jarama Beige'},{'color':'Olive Green'},{'color':'GTS Red'},{'color':'Nordic Gold'}]"
Chevrolet;https://www.carwale.com/chevrolet-cars/;Chevrolet Cruze;https://www.carwale.com/chevrolet-cars/cruze/;Chevrolet Cruze;? 15.42 Lakhs;"[{'variant':'LTZ'},{'variant':'LTZ AT'}]";"[{'color':'Summit White'},{'color':'Velvet Red'},{'color':'Caviar Black'},{'color':'Diamond White'},{'color':'Sand Drift Grey'},{'color':'Switchblade Silver'},{'color':'Burnt Coconut'}]"
Lexus;https://www.carwale.com/lexus-cars/;Lexus ES;https://www.carwale.com/lexus-cars/es/;Lexus ES;? 57.2 Lakhs;"[{'variant':'300h'}]";"[{'color':'Sonic Quartz'},{'color':'Sonic Titanium'},{'color':'Mercury Gray Mica'},{'color':'Black'},{'color':'Platinum Silver Metallic'},{'color':'Graphite Black Glass Flake'},{'color':'Red Mica Crystal Shine'},{'color':'Deep Blue Mica'},{'color':'Sleek Ecru Metallic'},{'color':'Amber Crystal Shine'}]"
Mercedes-Benz;https://www.carwale.com/mercedesbenz-cars/;Mercedes-Benz C-Class Cabriolet;https://www.carwale.com/mercedesbenz-cars/c-class-cabriolet/;Mercedes-Benz C-Class Cabriolet;? 62.21 Lakhs;"[{'variant':'C 300'}]";"[{'color':'Polar White'},{'color':'Obsidian Black'},{'color':'Brilliant Blue'},{'color':'Designo Hyacinth Red Metallic'}]"
BMW;https://www.carwale.com/bmw-cars/;BMW 3 Series;https://www.carwale.com/bmw-cars/3-series/;BMW 3 Series;? 37.7 Lakhs;"[{'variant':'320d Prestige'},{'variant':'320d Sport Line'},{'variant':'320d Luxury Line'},{'variant':'330i Sport Line'},{'variant':'330i M Sport Edition'},{'variant':'320d M Sport'}]";"[{'color':'Alpine White'},{'color':'Black Sapphire'},{'color':'Melbourne Red'},{'color':'Imperial Blue Brilliant Effect'},{'color':'Platinum Silver'},{'color':'Jatoba'},{'color':'Estoril Blue'},{'color':'Mediterranean Blue'}]"
BMW;https://www.carwale.com/bmw-cars/;BMW 7 Series;https://www.carwale.com/bmw-cars/7-series/;BMW 7 Series;? 1.16 Crores;"[{'variant':'730Ld DPE'},{'variant':'730Ld M Sport'},{'variant':'730Ld DPE Signature'},{'variant':'740Li DPE Signature'},{'variant':'730Ld M Sport Plus'},{'variant':'730Ld DPE (CBU)'},{'variant':'750Li DPE'},{'variant':'750Li M Sport'},{'variant':'M760Li xDrive'}]";"[{'color':'Alpine White'},{'color':'Arctic Grey Brilliant Effect'},{'color':'Black Sapphire'},{'color':'Carbon Black'},{'color':'Cashmere Silver'},{'color':'Glacier Silver'},{'color':'Imperial Blue Brilliant Effect'},{'color':'Jatoba'},{'color':'Magellan Grey'},{'color':'Mineral White'},{'color':'Singapore Grey'},{'color':'Sophisto Grey Brilliant Effect'},{'color':'Black'},{'color':'Moonstone metallic'},{'color':'Almandine Brown metallic'},{'color':'Ruby Black metallic'},{'color':'Azurite Black metallic'},{'color':'Brilliant White metallic'},{'color':'Pure metal Silver'},{'color':'Aventurine Red metallic'},{'color':'Frozen Dark Brown metallic'},{'color':'Frozen Arctic Grey metallic'}]"
Force Motors;https://www.carwale.com/forcemotors-cars/;Force Motors Force One;https://www.carwale.com/forcemotors-cars/forceone/;Force Motors Force One;? 9.48 Lakhs;"[{'variant':'EX 7 STR'},{'variant':'SX ABS 7 STR'},{'variant':'SX ABS 6 STR'},{'variant':'LX ABS 7 STR'}]";"[{'color':'Intense White'},{'color':'Bold Black'},{'color':'Fierce Red'},{'color':'Emphatic Grey'},{'color':'Robust Blue'},{'color':'Moondust Silver'}]"
Mercedes-Benz;https://www.carwale.com/mercedesbenz-cars/;Mercedes-Benz GLE;https://www.carwale.com/mercedesbenz-cars/gle/;Mercedes-Benz GLE;? 63.53 Lakhs;"[{'variant':'250 d'},{'variant':'350 d'},{'variant':'400 4MATIC'}]";"[{'color':'Obsidian Black'},{'color':'Tenorite Grey'},{'color':'Citrine Brown'},{'color':'Cavansite Blue'},{'color':'Iridium Silver'},{'color':'Polar White'}]"
Renault;https://www.carwale.com/renault-cars/;Renault Duster;https://www.carwale.com/renault-cars/duster/;Renault Duster;? 8.78 Lakhs;"[{'variant':'RxE Petrol'},{'variant':'RXL Petrol'},{'variant':'85 PS Base 4X2 MT'},{'variant':'85 PS RxE 4X2 MT'},{'variant':'RXS CVT'},{'variant':'85 PS RXS 4X2 MT'},{'variant':'85 PS RXZ 4X2 MT'},{'variant':'110 PS RXZ 4X2 MT'},{'variant':'110 PS RXZ 4X2 AMT'},{'variant':'110 PS RXZ 4X4 MT'}]";"[{'color':'Woodland Brown'},{'color':'Pearl White'},{'color':'Moonlight Silver'},{'color':'Comet Grey'},{'color':'Cayenne Orange'},{'color':'Outback Bronze'},{'color':'Slate Grey'},{'color':'Fiery Red'}]"
Ferrari;https://www.carwale.com/ferrari-cars/;Ferrari 458;https://www.carwale.com/ferrari-cars/458/;Ferrari 458;? 4.16 Crores;"[{'variant':'Speciale'}]";"[{'color':'Blu Tour De France'},{'color':'Blu Pozi'},{'color':'Blu Scozia'},{'color':'Nero Daytona'},{'color':'Nero'},{'color':'Blue Abu Dhabi'},{'color':'Grigio Alloy'},{'color':'Vinaccia'},{'color':'Rosso Mugello'},{'color':'Grigio Medio'},{'color':'Grigio Silverstone'},{'color':'Grigio Titanio'},{'color':'Blu Mirabeau'},{'color':'Azzurro'},{'color':'Azzurro (Metallic)'},{'color':'Rosso Corsa'},{'color':'Rosso Suderio'},{'color':'Grigio Ingrid'},{'color':'Bianco Avus'},{'color':'Giallo Modena'}]"
Ferrari;https://www.carwale.com/ferrari-cars/;Ferrari F12berlinetta;https://www.carwale.com/ferrari-cars/f12berlinetta/;Ferrari F12berlinetta;? 4.83 Crores;"[{'variant':'V12'}]";"[{'color':'Rosso Scuderia'},{'color':'Azzurro California'},{'color':'Nero Daytone'},{'color':'Grigio Scuro'},{'color':'Grigio Ingrid'},{'color':'Blu Scozia'},{'color':'Nero Pastello'},{'color':'Blu tour de France'},{'color':'Rosso Corsa'},{'color':'Rosso Mugello'},{'color':'Argento Nurburgring'},{'color':'Grigio Alloy'},{'color':'Giallo Modena'}]"
Toyota;https://www.carwale.com/toyota-cars/;Toyota Land Cruiser;https://www.carwale.com/toyota-cars/land-cruiser/;Toyota Land Cruiser;? 1.37 Crores;"[{'variant':'LC 200 VX'}]";"[{'color':'Super White'},{'color':'White Pearl Crystal Shine'},{'color':'Silver Metallic'},{'color':'Black'},{'color':'Attitude Black'},{'color':'Dark Red Mica Metallic'},{'color':'Beige Mica Metallic'},{'color':'Copper Brown Mica'},{'color':'Dark Blue Mica'},{'color':'Grey Metallic'}]"
