Package,Package Id,Internal,Material,Labour,Total
Full Body Paint Without Roof,11,N,14999.7,34999.3,49999
Full Body Paint With Roof,10,N,17999.7,41999.3,59999
Full Body Paint - Colour Change,13,N,24599.7,57399.3,81999
Fix Scratches and Dents,2,N,1349.7,3149.3,4499
