1309,1200,0,0
892,0,0,0
911,2500,1749.3,749.7
1310,4000,0,0
978,0,5949.3,2549.7
1110,0,1050,450
1111,0,1050,450
1027,0,3289.3,1409.7
1106,0,5950,2550
1130,2500,1749.3,749.7
1138,300,0,0
1139,1000,0,0
1125,0,0,0
1167,0,0,0
1173,0,0,0
1291,0,0,0
1293,0,4549.3,1949.7
1300,0,0,0
1466,2500,1749.3,749.7
1465,2650,1749.3,749.7
1464,2500,0,0
1358,0,3639.3,1559.7
1363,0,0,0
1360,0,0,0
2311,1900,0,0
2312,500,0,0
1567,2800,1749.3,749.7
1517,0,3919.3,1679.7
1546,0,3989.3,1709.7
2332,0,3499.3,1499.7
1690,2000,0,0
1960,1669,0,0
1677,1891,0,0
1959,600,0,0
2295,852,0,0
2296,867,0,0
1658,0,5039.3,2159.7
1670,0,0,0
2178,860,0,0
2265,0,2676.8,1147.2
2284,0,0,0
2589,0,1190,510
2553,0,4339.3,1859.7
2554,0,3009.3,1289.7
2571,0,0,0
2615,0,1190,510
877,5000,0,0
878,0,525,225
2281,0,0,0
2283,0,3289.3,1409.7
753,0,7349.3,3149.7
754,0,7839.3,3359.7
723,0,0,0
1135,2000,0,0
1621,300,0,0
1622,580,0,0
1185,0,0,0
1279,1999,0,0
1318,0,7139.3,3059.7
1347,0,0,0
1448,1000,0,0
1645,2800,0,0
1552,0,2800,1200
1966,0,0,0
2116,0,0,0
2115,0,0,0
2520,0,4689.3,2009.7
2392,1881,1889.3,809.7
2333,2977,0,0
2399,229,0,0
2400,172,0,0
2402,1145,0,0
2513,1200,1889.3,809.7
2556,350,0,0
2508,0,5529.3,2369.7
2325,0,0,0
